country,Human Development Index (value),region
Peru,0.762,Americas
Philippines,0.699,Asia
Palau,0.767,Oceania
Papua New Guinea,0.558,Oceania
Poland,0.876,Europe
Korea (Democratic People's Rep. of),,Asia
Portugal,0.866,Europe
Paraguay,0.717,Americas
"Palestine, State of",0.715,Asia
Qatar,0.855,Asia
Romania,0.821,Europe
Russian Federation,0.822,Europe
Rwanda,0.534,Africa
Saudi Arabia,0.875,Asia
Sudan,0.508,Africa
Senegal,0.511,Africa
Singapore,0.939,Asia
Solomon Islands,0.564,Oceania
Sierra Leone,0.477,Africa
El Salvador,0.675,Americas
San Marino,0.853,Europe
Somalia,,Africa
Serbia,0.802,Europe
South Sudan,0.385,Africa
Sao Tome and Principe,0.618,Africa
Suriname,0.73,Americas
Slovakia,0.848,Europe
Slovenia,0.918,Europe
Sweden,0.947,Europe
Eswatini (Kingdom of),0.597,Africa
Seychelles,0.785,Africa
Syrian Arab Republic,0.577,Asia
Chad,0.394,Africa
Togo,0.539,Africa
Thailand,0.8,Asia
Tajikistan,0.685,Asia
Turkmenistan,0.745,Asia
Timor-Leste,0.607,Asia
Tonga,0.745,Oceania
Trinidad and Tobago,0.81,Americas
Tunisia,0.731,Africa
Turkey,0.838,Asia
Tuvalu,0.641,Oceania
Tanzania (United Republic of),0.549,Africa
Uganda,0.525,Africa
Ukraine,0.773,Europe
Uruguay,0.809,Americas
United States,0.921,Americas
Uzbekistan,0.727,Asia
Saint Vincent and the Grenadines,0.751,Americas
Venezuela (Bolivarian Republic of),0.691,Americas
Viet Nam,0.703,Asia
Vanuatu,0.607,Oceania
Samoa,0.707,Oceania
Yemen,0.455,Asia
South Africa,0.713,Africa
Zambia,0.565,Africa
Zimbabwe,0.593,Africa
